epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1169.64,1.68066,2.73195,1.64093,0.3692,0.16535,0.13235,0.07724,1.6071,2.59975,1.58613,0.0700041,0.00333288,0.00333288
2,2287.83,1.60909,2.55575,1.59298,0.39023,0.27,0.24426,0.15499,1.41637,1.93407,1.4367,0.0397401,0.00640223,0.00640223
3,3385.4,1.53942,2.37128,1.5316,0.44383,0.30532,0.29525,0.19188,1.35201,1.77347,1.37829,0.00921209,0.00920758,0.00920758
4,4443.71,1.48787,2.22025,1.48608,0.46164,0.33198,0.33093,0.2178,1.31477,1.67983,1.34162,0.008812,0.008812,0.008812
5,5485.64,1.44856,2.1096,1.4516,0.46923,0.35208,0.35174,0.233,1.29073,1.62466,1.32068,0.008416,0.008416,0.008416
6,6526,1.42184,2.0363,1.42883,0.47992,0.35812,0.36612,0.24564,1.27427,1.59126,1.30566,0.00802,0.00802,0.00802
7,7566.43,1.40046,1.97661,1.40956,0.49983,0.3635,0.37412,0.25282,1.26395,1.57558,1.29626,0.007624,0.007624,0.007624
8,8606.98,1.3842,1.92702,1.39532,0.50757,0.3646,0.37964,0.25741,1.25585,1.57022,1.28899,0.007228,0.007228,0.007228
9,9647.92,1.36873,1.89004,1.38451,0.5142,0.36422,0.38373,0.26088,1.24998,1.5708,1.28396,0.006832,0.006832,0.006832
10,10685.4,1.35821,1.8597,1.37398,0.51684,0.36915,0.38742,0.26389,1.24401,1.5708,1.27884,0.006436,0.006436,0.006436
11,11721.3,1.34682,1.82176,1.36355,0.52096,0.36909,0.39097,0.26733,1.23751,1.56953,1.27286,0.00604,0.00604,0.00604
12,12756.9,1.33806,1.80107,1.35697,0.52751,0.37271,0.39585,0.2708,1.23167,1.56227,1.26724,0.005644,0.005644,0.005644
13,13794.6,1.32999,1.77531,1.34893,0.53089,0.3766,0.40088,0.27468,1.22652,1.55147,1.26179,0.005248,0.005248,0.005248
14,14832.7,1.31943,1.75371,1.34247,0.53621,0.38133,0.4066,0.27885,1.22142,1.53522,1.2567,0.004852,0.004852,0.004852
15,15870.5,1.30963,1.73129,1.33582,0.54678,0.38277,0.4128,0.28325,1.21679,1.51428,1.25172,0.004456,0.004456,0.004456
16,16935.3,1.31623,1.63244,1.33657,0.55481,0.38673,0.41916,0.28776,1.21035,1.49026,1.24557,0.00406,0.00406,0.00406
17,17958.3,1.30501,1.60145,1.32801,0.55666,0.3918,0.42453,0.29202,1.20433,1.46775,1.23996,0.003664,0.003664,0.003664
18,18979.5,1.2936,1.57656,1.31832,0.55916,0.39789,0.42952,0.29645,1.19946,1.44725,1.23526,0.003268,0.003268,0.003268
19,20002.8,1.28323,1.55207,1.31117,0.56287,0.40179,0.43419,0.30033,1.19604,1.42786,1.23137,0.002872,0.002872,0.002872
20,21027.1,1.27225,1.52948,1.30312,0.56694,0.40488,0.43816,0.30376,1.19216,1.41121,1.22718,0.002476,0.002476,0.002476
21,22052.9,1.26635,1.51138,1.2983,0.5639,0.41095,0.44169,0.30631,1.18937,1.39695,1.22374,0.00208,0.00208,0.00208
22,23077.4,1.25866,1.49015,1.29209,0.55909,0.41398,0.44501,0.30872,1.18634,1.38449,1.22045,0.001684,0.001684,0.001684
23,24101.5,1.24932,1.47328,1.28636,0.56187,0.41543,0.44863,0.31136,1.18373,1.37393,1.21736,0.001288,0.001288,0.001288
24,25124.7,1.24225,1.45401,1.28093,0.55639,0.41982,0.45145,0.31381,1.18217,1.36483,1.21541,0.000892,0.000892,0.000892
25,26150,1.23502,1.43853,1.27498,0.55336,0.4237,0.45345,0.31495,1.18088,1.35773,1.21345,0.000496,0.000496,0.000496
