epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1370.01,1.31674,1.82365,1.3187,0.55884,0.38477,0.40681,0.27153,1.27229,1.56936,1.26812,0.0700041,0.00333288,0.00333288
2,2590.47,1.39126,2.07814,1.3843,0.57937,0.37807,0.3975,0.26624,1.26812,1.55422,1.27999,0.0397401,0.00640223,0.00640223
3,3765.74,1.42851,2.15001,1.41816,0.55595,0.37759,0.39198,0.26402,1.26557,1.54139,1.28238,0.00921209,0.00920758,0.00920758
4,4915.4,1.42703,2.11241,1.40487,0.5683,0.38551,0.40491,0.27448,1.2479,1.50783,1.26075,0.008812,0.008812,0.008812
5,6059.69,1.38348,1.97796,1.36943,0.56347,0.39854,0.4239,0.28844,1.22933,1.45862,1.2416,0.008416,0.008416,0.008416
6,7186.59,1.35373,1.89847,1.34694,0.5494,0.41054,0.4323,0.2963,1.21721,1.44043,1.23093,0.00802,0.00802,0.00802
7,8310.91,1.33584,1.83852,1.33149,0.55603,0.40779,0.4354,0.29983,1.21052,1.44273,1.22367,0.007624,0.007624,0.007624
8,9436.56,1.32047,1.79244,1.31941,0.57826,0.40541,0.43545,0.30084,1.20571,1.45035,1.21864,0.007228,0.007228,0.007228
9,10560.1,1.30793,1.75795,1.3107,0.57196,0.40585,0.43235,0.29981,1.20232,1.46732,1.21456,0.006832,0.006832,0.006832
10,11686.4,1.29996,1.73294,1.30412,0.56604,0.40627,0.43396,0.30148,1.19941,1.48596,1.21079,0.006436,0.006436,0.006436
11,12810.8,1.29145,1.70142,1.29628,0.56443,0.40327,0.43498,0.30244,1.19653,1.50084,1.20684,0.00604,0.00604,0.00604
12,13936,1.28604,1.68516,1.29181,0.57,0.39996,0.43449,0.30299,1.19389,1.51207,1.20382,0.005644,0.005644,0.005644
13,15061.6,1.27839,1.66618,1.28659,0.56755,0.39486,0.43226,0.30234,1.19117,1.51954,1.20104,0.005248,0.005248,0.005248
14,16186.2,1.27165,1.6482,1.28273,0.56523,0.37493,0.41979,0.29504,1.18924,1.53082,1.19892,0.004852,0.004852,0.004852
15,17310.5,1.26332,1.62869,1.27795,0.52952,0.35314,0.39162,0.27789,1.18708,1.57197,1.19694,0.004456,0.004456,0.004456
16,18468.8,1.26802,1.58929,1.2737,0.49545,0.34654,0.37055,0.26373,1.18553,1.60869,1.19352,0.00406,0.00406,0.00406
17,19586.1,1.2627,1.57051,1.26638,0.50827,0.35179,0.3756,0.2671,1.18523,1.59376,1.19062,0.003664,0.003664,0.003664
18,20700.3,1.25513,1.54945,1.25987,0.52461,0.36223,0.38533,0.27313,1.18517,1.57728,1.18832,0.003268,0.003268,0.003268
19,21811.9,1.24981,1.53256,1.25412,0.53903,0.37199,0.39614,0.27996,1.18498,1.56557,1.18581,0.002872,0.002872,0.002872
20,22925.4,1.24438,1.51736,1.25074,0.54358,0.38896,0.40528,0.28565,1.18417,1.55288,1.1836,0.002476,0.002476,0.002476
21,24039.3,1.24074,1.50387,1.24765,0.5451,0.39752,0.41333,0.29055,1.18301,1.53465,1.1815,0.00208,0.00208,0.00208
22,25157.4,1.23546,1.49077,1.24396,0.54603,0.40257,0.41934,0.29429,1.18182,1.51271,1.17967,0.001684,0.001684,0.001684
23,26272.4,1.23224,1.48221,1.24125,0.55337,0.40501,0.42656,0.29937,1.18096,1.49069,1.17836,0.001288,0.001288,0.001288
24,27393.5,1.22921,1.47315,1.23929,0.56097,0.40867,0.43459,0.30528,1.18034,1.46856,1.17709,0.000892,0.000892,0.000892
25,28516.9,1.22656,1.46548,1.236,0.56652,0.41731,0.44194,0.30977,1.17981,1.4455,1.1761,0.000496,0.000496,0.000496
