epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1116.97,1.26893,1.55444,1.2796,0.58171,0.40687,0.44005,0.29774,1.22416,1.39827,1.21288,0.0700041,0.00333288,0.00333288
2,2187.92,1.37639,1.8471,1.35852,0.54164,0.39545,0.41503,0.28077,1.25125,1.46332,1.24831,0.0397401,0.00640223,0.00640223
3,3237.22,1.46156,2.08845,1.4286,0.53737,0.36838,0.38906,0.26279,1.27103,1.53384,1.27891,0.00921209,0.00920758,0.00920758
4,4280.78,1.4698,2.11472,1.43843,0.54404,0.37319,0.40215,0.27409,1.25085,1.4931,1.26334,0.008812,0.008812,0.008812
5,5323.03,1.42443,1.98816,1.40474,0.55387,0.3956,0.42193,0.28906,1.22795,1.44258,1.2463,0.008416,0.008416,0.008416
6,6367.84,1.39748,1.92148,1.38631,0.56486,0.40258,0.43233,0.29709,1.21429,1.41272,1.23471,0.00802,0.00802,0.00802
7,7414.07,1.38013,1.87064,1.37271,0.57655,0.40764,0.4388,0.30279,1.20542,1.39779,1.22852,0.007624,0.007624,0.007624
8,8462.13,1.36646,1.83143,1.36199,0.58346,0.40811,0.44392,0.30691,1.19958,1.38454,1.22359,0.007228,0.007228,0.007228
9,9505.25,1.35379,1.80437,1.35186,0.58694,0.41449,0.44792,0.31008,1.19496,1.37315,1.21929,0.006832,0.006832,0.006832
10,10551.2,1.34462,1.77983,1.34548,0.59157,0.41687,0.4514,0.31295,1.18982,1.36255,1.21498,0.006436,0.006436,0.006436
11,11597.8,1.3357,1.75085,1.33795,0.58913,0.42029,0.45533,0.31607,1.18561,1.35165,1.21084,0.00604,0.00604,0.00604
12,12645.3,1.32827,1.73585,1.33232,0.59256,0.42364,0.45907,0.3193,1.18157,1.34146,1.20776,0.005644,0.005644,0.005644
13,13692.3,1.32026,1.71322,1.32626,0.59865,0.42453,0.46304,0.32265,1.17812,1.3314,1.20459,0.005248,0.005248,0.005248
14,14723.3,1.31135,1.69493,1.32003,0.61097,0.42422,0.46686,0.32525,1.17494,1.32204,1.20119,0.004852,0.004852,0.004852
15,15752.4,1.30143,1.67256,1.31406,0.59957,0.43336,0.47071,0.32816,1.17197,1.31294,1.19824,0.004456,0.004456,0.004456
16,16809.5,1.31385,1.60048,1.3178,0.59512,0.43994,0.47431,0.33121,1.16883,1.30467,1.19544,0.00406,0.00406,0.00406
17,17820.4,1.30211,1.56944,1.30894,0.59607,0.44202,0.4771,0.33421,1.16522,1.29733,1.1926,0.003664,0.003664,0.003664
18,18835,1.28934,1.54114,1.299,0.59861,0.44802,0.48028,0.33711,1.1621,1.2898,1.18985,0.003268,0.003268,0.003268
19,19846.4,1.27733,1.51257,1.29099,0.59572,0.45264,0.48298,0.33996,1.15894,1.28398,1.18708,0.002872,0.002872,0.002872
20,20859,1.26302,1.48236,1.28021,0.61274,0.4477,0.48609,0.34226,1.15633,1.27835,1.18439,0.002476,0.002476,0.002476
21,21869.3,1.25365,1.45516,1.27333,0.61514,0.44947,0.48856,0.34462,1.15368,1.27322,1.18159,0.00208,0.00208,0.00208
22,22882.6,1.23914,1.42288,1.26296,0.61793,0.45203,0.49108,0.34673,1.1509,1.2678,1.17877,0.001684,0.001684,0.001684
23,23895.7,1.22661,1.39414,1.25467,0.62205,0.45296,0.49301,0.34865,1.14872,1.26331,1.17637,0.001288,0.001288,0.001288
24,24908.3,1.21404,1.36252,1.24538,0.62221,0.45365,0.49581,0.35062,1.14693,1.25907,1.17404,0.000892,0.000892,0.000892
25,25918.6,1.19964,1.33269,1.23548,0.62723,0.45096,0.49741,0.35215,1.14486,1.2549,1.17192,0.000496,0.000496,0.000496
