epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1135.62,2.14084,3.64816,2.11738,0.36704,0.08753,0.05397,0.02842,1.8822,3.05213,1.94702,0.0700041,0.00333288,0.00333288
2,2215.43,1.8219,3.12718,1.87081,0.34059,0.14025,0.10434,0.05999,1.67317,2.58018,1.76071,0.0397401,0.00640223,0.00640223
3,4531.25,1.75371,2.98135,1.81953,0.32094,0.16647,0.12747,0.07439,1.61778,2.44922,1.71173,0.00921209,0.00920758,0.00920758
4,5592.83,1.7156,2.88303,1.78464,0.35833,0.18102,0.14484,0.08585,1.57845,2.37577,1.67837,0.008812,0.008812,0.008812
5,6651.34,1.68915,2.8186,1.76382,0.37029,0.18422,0.15655,0.0933,1.55722,2.33915,1.66139,0.008416,0.008416,0.008416
6,7707.78,1.67198,2.77751,1.74828,0.38288,0.18488,0.16113,0.09665,1.5481,2.32964,1.65284,0.00802,0.00802,0.00802
7,8774.38,1.65728,2.73166,1.73365,0.38904,0.18672,0.16301,0.09774,1.54166,2.32967,1.64785,0.007624,0.007624,0.007624
8,9846.51,1.64588,2.69814,1.72341,0.39401,0.18379,0.16345,0.09832,1.53889,2.34259,1.64658,0.007228,0.007228,0.007228
9,13303,1.63401,2.66932,1.71309,0.39427,0.17723,0.16259,0.09794,1.53818,2.36428,1.64579,0.006832,0.006832,0.006832
10,15512.2,1.6241,2.64607,1.70345,0.42125,0.1691,0.16143,0.09745,1.53783,2.3967,1.64697,0.006436,0.006436,0.006436
11,16592.7,1.61502,2.61376,1.69413,0.45022,0.16164,0.15978,0.09678,1.53939,2.42817,1.64843,0.00604,0.00604,0.00604
12,17653.6,1.60811,2.59306,1.68505,0.45205,0.15481,0.15796,0.09589,1.53997,2.45798,1.64812,0.005644,0.005644,0.005644
13,18713.2,1.59837,2.56966,1.67787,0.45946,0.14653,0.15663,0.09492,1.54004,2.4886,1.64828,0.005248,0.005248,0.005248
14,19766.1,1.58694,2.5428,1.66872,0.47578,0.14057,0.15574,0.09465,1.5384,2.51404,1.64653,0.004852,0.004852,0.004852
15,20806.9,1.57641,2.51745,1.66039,0.48284,0.13664,0.15444,0.09392,1.537,2.5355,1.64449,0.004456,0.004456,0.004456
16,21871.2,1.63523,2.5156,1.71697,0.50057,0.12877,0.15562,0.09468,1.53329,2.56185,1.64141,0.00406,0.00406,0.00406
17,22883.5,1.62227,2.46408,1.70169,0.50316,0.12394,0.15707,0.09614,1.52978,2.58006,1.63975,0.003664,0.003664,0.003664
18,23893.7,1.60894,2.42582,1.69132,0.53316,0.11835,0.15867,0.09761,1.52787,2.60029,1.63914,0.003268,0.003268,0.003268
19,24904.7,1.5921,2.38517,1.67601,0.55253,0.11571,0.16045,0.09915,1.52676,2.61276,1.63912,0.002872,0.002872,0.002872
20,25916.6,1.57723,2.34824,1.66146,0.57975,0.11387,0.16278,0.10074,1.52571,2.62042,1.63865,0.002476,0.002476,0.002476
21,26927.6,1.56187,2.30613,1.64703,0.58603,0.11265,0.16508,0.10256,1.52491,2.63133,1.63854,0.00208,0.00208,0.00208
22,27940.1,1.54433,2.26327,1.63262,0.59755,0.1118,0.16747,0.10411,1.5244,2.63829,1.63899,0.001684,0.001684,0.001684
23,28951.6,1.5241,2.21474,1.61489,0.60536,0.11143,0.17078,0.10651,1.52363,2.64309,1.63922,0.001288,0.001288,0.001288
24,29962.7,1.50353,2.16098,1.59562,0.60903,0.11096,0.17333,0.10846,1.52348,2.64941,1.64023,0.000892,0.000892,0.000892
25,30974.7,1.47981,2.10902,1.5759,0.60033,0.11301,0.17717,0.11107,1.52149,2.64453,1.63944,0.000496,0.000496,0.000496
