epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1113.21,2.11519,3.61778,2.09256,0.35599,0.09805,0.06141,0.03322,1.86086,2.90868,1.86065,0.0700041,0.00333288,0.00333288
2,2170.32,1.76566,2.98157,1.79056,0.33415,0.17787,0.13751,0.07949,1.61204,2.40257,1.65945,0.0397401,0.00640223,0.00640223
3,3207.81,1.66738,2.74905,1.7012,0.34991,0.21081,0.18366,0.1128,1.52707,2.19168,1.57404,0.00921209,0.00920758,0.00920758
4,4239.05,1.6061,2.58313,1.64214,0.36659,0.23312,0.21054,0.1325,1.47394,2.07482,1.52579,0.008812,0.008812,0.008812
5,5268.84,1.56296,2.46589,1.60334,0.40275,0.24871,0.23306,0.14949,1.44416,1.99902,1.4975,0.008416,0.008416,0.008416
6,6300.74,1.53285,2.38174,1.57282,0.41035,0.25803,0.24972,0.16167,1.42536,1.95547,1.4773,0.00802,0.00802,0.00802
7,7330.63,1.51119,2.31189,1.55291,0.42458,0.26693,0.25889,0.16851,1.41291,1.93452,1.46489,0.007624,0.007624,0.007624
8,8362.49,1.4939,2.25759,1.53401,0.42729,0.26879,0.26467,0.17316,1.40247,1.92295,1.45472,0.007228,0.007228,0.007228
9,9391.71,1.47733,2.213,1.52059,0.4336,0.27359,0.27018,0.17729,1.39347,1.91276,1.44571,0.006832,0.006832,0.006832
10,10421.3,1.46467,2.17754,1.50758,0.44752,0.2769,0.27521,0.18143,1.38467,1.90267,1.43646,0.006436,0.006436,0.006436
11,11449.8,1.45346,2.1383,1.4961,0.45011,0.27987,0.28088,0.18573,1.37735,1.89365,1.42852,0.00604,0.00604,0.00604
12,12480.3,1.44405,2.11058,1.48456,0.45599,0.28252,0.28634,0.18999,1.37084,1.88234,1.42093,0.005644,0.005644,0.005644
13,13509.2,1.4337,2.08213,1.47592,0.46118,0.28814,0.2927,0.19468,1.36389,1.86716,1.41337,0.005248,0.005248,0.005248
14,14538.5,1.42389,2.05605,1.46738,0.46541,0.2957,0.29949,0.19951,1.35682,1.8472,1.40521,0.004852,0.004852,0.004852
15,15567.5,1.41173,2.03259,1.45845,0.46496,0.3038,0.30631,0.20427,1.3493,1.82335,1.39727,0.004456,0.004456,0.004456
16,16634.6,1.42407,1.92841,1.46431,0.46551,0.30892,0.31384,0.2096,1.34127,1.7959,1.38847,0.00406,0.00406,0.00406
17,17654.6,1.41326,1.89035,1.45285,0.47529,0.31313,0.32192,0.21513,1.33336,1.76903,1.37953,0.003664,0.003664,0.003664
18,18677.1,1.40057,1.86271,1.44287,0.47793,0.31879,0.32887,0.22011,1.3268,1.74254,1.37196,0.003268,0.003268,0.003268
19,19699.3,1.39066,1.83358,1.43369,0.48105,0.32256,0.3355,0.22485,1.32054,1.71754,1.36478,0.002872,0.002872,0.002872
20,20720.5,1.38091,1.81068,1.42467,0.47935,0.33159,0.34155,0.22943,1.31389,1.69326,1.35716,0.002476,0.002476,0.002476
21,21741.6,1.37336,1.79214,1.41878,0.48566,0.33628,0.34739,0.23348,1.30843,1.67133,1.35083,0.00208,0.00208,0.00208
22,22762.5,1.36598,1.76818,1.41072,0.49122,0.33843,0.35222,0.23723,1.30318,1.65234,1.34516,0.001684,0.001684,0.001684
23,23821.5,1.35757,1.75011,1.40486,0.48871,0.34495,0.35577,0.23971,1.29968,1.6374,1.34059,0.001288,0.001288,0.001288
24,24895.3,1.35093,1.7316,1.39888,0.4884,0.34979,0.3596,0.24251,1.29667,1.62425,1.33672,0.000892,0.000892,0.000892
25,25962.5,1.34418,1.71663,1.39274,0.49525,0.35089,0.36283,0.24494,1.29425,1.61324,1.33371,0.000496,0.000496,0.000496
