epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1363.96,2.48276,4.29173,2.48648,0.49393,0.04063,0.02744,0.01348,2.05904,3.52237,2.14116,0.0700041,0.00333288,0.00333288
2,2590.16,1.94796,3.56127,2.02106,0.36327,0.09704,0.0694,0.03711,1.84651,2.96635,1.94795,0.0397401,0.00640223,0.00640223
3,3758.13,1.83083,3.18703,1.91506,0.35989,0.14178,0.11017,0.06145,1.73342,2.63714,1.82984,0.00921209,0.00920758,0.00920758
4,4868.44,1.74542,2.93048,1.82538,0.32974,0.17785,0.15037,0.08676,1.65612,2.42744,1.74775,0.008812,0.008812,0.008812
5,5976.69,1.67853,2.74326,1.75619,0.30943,0.20128,0.17737,0.10396,1.61477,2.30874,1.69823,0.008416,0.008416,0.008416
6,7086.91,1.63891,2.62696,1.71431,0.37651,0.20643,0.19395,0.11516,1.58741,2.25041,1.66763,0.00802,0.00802,0.00802
7,8205.68,1.61206,2.5384,1.68374,0.45756,0.20916,0.20471,0.12236,1.56923,2.23952,1.64658,0.007624,0.007624,0.007624
8,12108.5,1.59271,2.47598,1.66207,0.44793,0.21377,0.21276,0.12795,1.55464,2.24283,1.63019,0.007228,0.007228,0.007228
9,13218.2,1.57534,2.42488,1.64456,0.48159,0.21562,0.21985,0.13277,1.54326,2.2478,1.61763,0.006832,0.006832,0.006832
10,14327.1,1.56137,2.38712,1.63137,0.46972,0.21754,0.22624,0.13673,1.53325,2.25201,1.60647,0.006436,0.006436,0.006436
11,15441.5,1.54956,2.3462,1.61932,0.48158,0.21907,0.23368,0.14145,1.52449,2.2582,1.59543,0.00604,0.00604,0.00604
12,17627.4,1.54238,2.32072,1.60961,0.50618,0.21958,0.24077,0.14652,1.51524,2.26453,1.58476,0.005644,0.005644,0.005644
13,19860.1,1.53213,2.29243,1.60128,0.53304,0.22006,0.24559,0.14994,1.50688,2.26606,1.57426,0.005248,0.005248,0.005248
14,21055.7,1.52387,2.27243,1.59425,0.53708,0.22198,0.25048,0.1533,1.49932,2.25849,1.56536,0.004852,0.004852,0.004852
15,22273,1.51608,2.24801,1.58853,0.54138,0.22702,0.25501,0.15622,1.49272,2.24259,1.55769,0.004456,0.004456,0.004456
16,23534.2,1.53889,2.22461,1.60708,0.54652,0.23149,0.25953,0.15902,1.4851,2.22261,1.54892,0.00406,0.00406,0.00406
17,24647,1.53533,2.22498,1.59661,0.54243,0.23316,0.26437,0.16241,1.48007,2.21432,1.54094,0.003664,0.003664,0.003664
18,25753.9,1.5281,2.21868,1.58841,0.54854,0.23751,0.26895,0.16567,1.4747,2.20613,1.53318,0.003268,0.003268,0.003268
19,26860.1,1.52336,2.21094,1.58093,0.54954,0.24339,0.27312,0.169,1.47057,2.19451,1.52689,0.002872,0.002872,0.002872
20,27955.7,1.51718,2.19842,1.57608,0.54517,0.24734,0.27743,0.1723,1.46734,2.17979,1.52131,0.002476,0.002476,0.002476
21,29045.4,1.51505,2.19027,1.57219,0.56137,0.24997,0.28082,0.17505,1.46464,2.16272,1.51676,0.00208,0.00208,0.00208
22,30136.9,1.51052,2.17648,1.56906,0.55454,0.2551,0.28385,0.17734,1.46258,2.14511,1.51306,0.001684,0.001684,0.001684
23,31227.8,1.50779,2.16645,1.56584,0.57052,0.25613,0.28674,0.17945,1.46046,2.12575,1.50941,0.001288,0.001288,0.001288
24,32316.4,1.50597,2.15695,1.56253,0.55666,0.26086,0.28821,0.18085,1.45851,2.10674,1.50646,0.000892,0.000892,0.000892
25,33408,1.50173,2.15037,1.55945,0.55405,0.26578,0.29,0.18215,1.45719,2.08682,1.50434,0.000496,0.000496,0.000496
