epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1408.58,2.42008,4.07829,2.3763,0.28298,0.04818,0.03033,0.01442,2.06984,3.292,2.11124,0.0700041,0.00333288,0.00333288
2,2659.29,1.92785,3.30253,1.96443,0.35846,0.11646,0.07995,0.04419,1.81513,2.74291,1.86275,0.0397401,0.00640223,0.00640223
3,3830.35,1.79946,3.00739,1.84138,0.31919,0.16729,0.12746,0.07334,1.6864,2.46842,1.739,0.00921209,0.00920758,0.00920758
4,4954.04,1.71338,2.79221,1.7542,0.33531,0.20487,0.16641,0.09845,1.60572,2.2877,1.66088,0.008812,0.008812,0.008812
5,6108.96,1.64219,2.61481,1.68719,0.37637,0.22091,0.19471,0.1178,1.55878,2.1782,1.61162,0.008416,0.008416,0.008416
6,7274.71,1.59956,2.49971,1.64681,0.39028,0.23513,0.21387,0.13141,1.52968,2.11116,1.58332,0.00802,0.00802,0.00802
7,8438.7,1.57056,2.41011,1.61922,0.38898,0.24548,0.22729,0.14107,1.51211,2.06654,1.56656,0.007624,0.007624,0.007624
8,9596.72,1.54864,2.34619,1.59826,0.40529,0.25392,0.23684,0.14783,1.49941,2.03547,1.55404,0.007228,0.007228,0.007228
9,10720.5,1.53045,2.29454,1.58094,0.413,0.25915,0.24476,0.1536,1.48849,2.00962,1.5431,0.006832,0.006832,0.006832
10,11846.8,1.51472,2.25553,1.56748,0.41457,0.26618,0.25196,0.15867,1.47849,1.98455,1.5329,0.006436,0.006436,0.006436
11,12975.1,1.50168,2.21353,1.55559,0.41652,0.27428,0.25888,0.16366,1.46895,1.96168,1.52336,0.00604,0.00604,0.00604
12,14099.1,1.49261,2.18625,1.54482,0.42576,0.27847,0.26623,0.16879,1.45907,1.93814,1.51309,0.005644,0.005644,0.005644
13,15219.3,1.4831,2.15713,1.53595,0.43392,0.28339,0.27321,0.17391,1.45028,1.91557,1.50362,0.005248,0.005248,0.005248
14,16373.5,1.4725,2.13502,1.52835,0.43856,0.28988,0.27965,0.17856,1.44182,1.89346,1.49505,0.004852,0.004852,0.004852
15,17540.5,1.46269,2.11103,1.52058,0.44307,0.29391,0.28671,0.18368,1.43347,1.87195,1.4866,0.004456,0.004456,0.004456
16,18733.4,1.47602,2.00389,1.53114,0.44752,0.29765,0.29339,0.18873,1.4237,1.85033,1.47711,0.00406,0.00406,0.00406
17,19884.8,1.46631,1.96458,1.52131,0.45701,0.30233,0.29997,0.19362,1.41532,1.83051,1.46894,0.003664,0.003664,0.003664
18,21027.6,1.45749,1.9438,1.5134,0.46208,0.30609,0.30579,0.19812,1.40776,1.81284,1.46172,0.003268,0.003268,0.003268
19,22171.3,1.44886,1.92238,1.50704,0.47298,0.30892,0.31124,0.20197,1.40201,1.79764,1.45597,0.002872,0.002872,0.002872
20,23315.4,1.44394,1.90811,1.50133,0.4662,0.31439,0.31616,0.2057,1.39649,1.78352,1.44993,0.002476,0.002476,0.002476
21,24442.1,1.43915,1.89339,1.49676,0.47801,0.31531,0.32045,0.209,1.39211,1.77085,1.44478,0.00208,0.00208,0.00208
22,25570.3,1.43498,1.88174,1.49256,0.47982,0.31753,0.32412,0.21175,1.38795,1.75915,1.43988,0.001684,0.001684,0.001684
23,26699.1,1.43062,1.87147,1.48855,0.47843,0.32185,0.32725,0.21395,1.38455,1.74905,1.43603,0.001288,0.001288,0.001288
24,27840.3,1.42831,1.86142,1.48733,0.4831,0.32311,0.32972,0.21569,1.38252,1.74118,1.43318,0.000892,0.000892,0.000892
25,29056.2,1.4245,1.85596,1.4835,0.49067,0.32257,0.33189,0.21719,1.38059,1.73552,1.43079,0.000496,0.000496,0.000496
