epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1101.82,2.84494,4.56587,2.84225,0.39319,0.02606,0.01646,0.00793,2.07965,3.48035,2.17039,0.0700041,0.00333288,0.00333288
2,2160.62,1.90015,3.41098,1.9934,0.27757,0.11897,0.07896,0.04409,1.76323,2.74214,1.85722,0.0397401,0.00640223,0.00640223
3,3198.84,1.7555,2.99124,1.8368,0.31505,0.17959,0.13719,0.0811,1.61672,2.40331,1.70706,0.00921209,0.00920758,0.00920758
4,4235.71,1.66693,2.75093,1.72931,0.34817,0.21945,0.18138,0.11091,1.5282,2.19481,1.60668,0.008812,0.008812,0.008812
5,5270.86,1.60053,2.56309,1.6565,0.36063,0.2401,0.21345,0.13396,1.47855,2.07308,1.5516,0.008416,0.008416,0.008416
6,6305.42,1.56106,2.44823,1.61528,0.39282,0.25187,0.23487,0.15001,1.44877,2.00244,1.5206,0.00802,0.00802,0.00802
7,7339.54,1.53297,2.36017,1.58402,0.40481,0.26137,0.24937,0.16019,1.42958,1.95771,1.50041,0.007624,0.007624,0.007624
8,8373.93,1.51184,2.29314,1.56113,0.40422,0.27124,0.25959,0.16782,1.41518,1.92594,1.48536,0.007228,0.007228,0.007228
9,9411.13,1.49372,2.24054,1.54147,0.4053,0.27964,0.26761,0.1742,1.40345,1.90172,1.47295,0.006832,0.006832,0.006832
10,10445,1.47953,2.19947,1.5271,0.41114,0.28457,0.27486,0.17985,1.39374,1.88115,1.46156,0.006436,0.006436,0.006436
11,11477.9,1.46533,2.15374,1.5128,0.42301,0.28732,0.28229,0.18531,1.38453,1.86099,1.45108,0.00604,0.00604,0.00604
12,12509.8,1.4556,2.12415,1.49912,0.43232,0.29384,0.2896,0.19079,1.37578,1.84167,1.44019,0.005644,0.005644,0.005644
13,13526.7,1.44332,2.09055,1.48583,0.44892,0.29532,0.29631,0.19601,1.36621,1.82401,1.42911,0.005248,0.005248,0.005248
14,14543.6,1.43115,2.06358,1.47497,0.45229,0.29744,0.3026,0.20078,1.35813,1.80861,1.41933,0.004852,0.004852,0.004852
15,15560.3,1.41872,2.03367,1.46295,0.46437,0.3031,0.30934,0.20588,1.35018,1.79334,1.40904,0.004456,0.004456,0.004456
16,16606.2,1.43465,1.94608,1.47355,0.47644,0.30647,0.317,0.21186,1.34033,1.77676,1.39863,0.00406,0.00406,0.00406
17,17606.8,1.42237,1.90437,1.46109,0.50536,0.30959,0.32426,0.21751,1.33144,1.76253,1.38903,0.003664,0.003664,0.003664
18,18607.7,1.40989,1.87104,1.44926,0.51605,0.31397,0.33164,0.22327,1.32287,1.74881,1.37907,0.003268,0.003268,0.003268
19,19608.8,1.39531,1.8365,1.43726,0.51509,0.32163,0.33824,0.22841,1.31457,1.73443,1.3695,0.002872,0.002872,0.002872
20,20610.7,1.38256,1.80345,1.42597,0.5159,0.32839,0.34474,0.23377,1.30702,1.71966,1.36051,0.002476,0.002476,0.002476
21,21612.7,1.37253,1.77645,1.41733,0.52568,0.33187,0.35051,0.23836,1.30004,1.70476,1.35231,0.00208,0.00208,0.00208
22,22614.2,1.36077,1.74207,1.40558,0.5248,0.33869,0.35703,0.24309,1.29335,1.68931,1.34453,0.001684,0.001684,0.001684
23,23615.8,1.34735,1.71121,1.39517,0.51914,0.34116,0.36309,0.24784,1.28737,1.67437,1.33743,0.001288,0.001288,0.001288
24,24616.3,1.33603,1.67802,1.38494,0.52525,0.34475,0.36865,0.25185,1.28171,1.65738,1.33085,0.000892,0.000892,0.000892
25,25616.3,1.32176,1.64895,1.37405,0.52709,0.35016,0.37372,0.25575,1.2772,1.63958,1.32508,0.000496,0.000496,0.000496
