epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1288.25,1.34476,1.98691,1.35198,0.48052,0.34506,0.34884,0.23187,1.30464,1.8647,1.30199,0.0700041,0.00333288,0.00333288
2,2431.01,1.43662,2.38898,1.43646,0.53278,0.33736,0.34886,0.23153,1.29951,1.79971,1.31379,0.0393441,0.00600626,0.00600626
3,3538.53,1.47248,2.38341,1.46658,0.51608,0.33993,0.34912,0.23238,1.29702,1.76231,1.31489,0.00802415,0.00801964,0.00801964
4,4591.37,1.46207,2.2925,1.45948,0.54904,0.34891,0.3625,0.24522,1.27769,1.71303,1.30105,0.00703,0.00703,0.00703
5,5634.81,1.40852,2.13402,1.41732,0.53767,0.36523,0.37871,0.25813,1.25642,1.66265,1.28372,0.00604,0.00604,0.00604
6,6678.44,1.37352,2.03362,1.38583,0.52745,0.37531,0.38928,0.26682,1.24511,1.6298,1.27082,0.00505,0.00505,0.00505
7,7721.41,1.34589,1.95673,1.36349,0.55103,0.3768,0.396,0.27279,1.23766,1.61706,1.26251,0.00406,0.00406,0.00406
8,8800.63,1.32456,1.88857,1.34492,0.54255,0.38072,0.40073,0.27635,1.23247,1.61206,1.2563,0.00307,0.00307,0.00307
9,9886.11,1.30673,1.83686,1.3291,0.54579,0.38129,0.40293,0.27864,1.22923,1.60813,1.25178,0.00208,0.00208,0.00208
10,10947.2,1.29282,1.79736,1.31956,0.56443,0.38223,0.40586,0.28087,1.22653,1.60488,1.24804,0.00109,0.00109,0.00109
