epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56215,1.43993,2.34518,1.39981,0.64316,0.04158,0.05652,0.02458,2.17182,4.80108,1.97191,0.0937,0.0007,0.0007
2,13.1632,1.98471,3.70431,1.7531,0.08809,0.02819,0.002,0.00078,2.75088,inf,2.75696,0.0864852,0.00148515,0.00148515
3,20.4896,2.05268,3.60282,1.89805,0.21454,0.04267,0.01197,0.00523,2.878,inf,4.69488,0.0792545,0.00225446,0.00225446
4,27.1717,2.01343,3.5741,1.88197,0.00041,0.06004,0.00046,0.00012,3.28046,inf,8.90745,0.0720079,0.00300793,0.00300793
5,34.4519,2.06772,3.64358,1.99306,0.01451,0.01045,0.00044,0.00014,3.63625,inf,8.76708,0.0647456,0.00374556,0.00374556
6,41.837,2.1047,3.76456,1.98497,0,0,0,0,3.93398,inf,23.3304,0.0574674,0.00446735,0.00446735
7,49.4358,2.22311,3.74613,2.11193,0,0,0,0,4.40497,inf,31.222,0.0501733,0.0051733,0.0051733
8,57.7324,2.17306,3.6326,2.05883,0,0,0,0,4.39955,inf,47.5842,0.0428634,0.00586341,0.00586341
9,65.5302,2.22708,3.85652,2.07928,1e-05,0.00509,0,0,4.2223,inf,37.5084,0.0355377,0.00653768,0.00653768
10,73.2447,2.1452,3.70107,2.05965,0,0.00156,0,0,3.98261,inf,30.6851,0.0281961,0.00719611,0.00719611
11,82.0471,2.16206,3.67079,2.038,0,0.00156,0,0,4.04912,inf,18.0954,0.0208387,0.0078387,0.0078387
12,89.8864,2.21053,3.60299,2.03382,0,0.00156,0,0,3.84561,inf,9.27414,0.0134655,0.00846545,0.00846545
13,97.685,2.15859,3.74037,2.0224,8e-05,0.00478,5e-05,2e-05,4.00758,inf,12.8155,0.008812,0.008812,0.008812
14,105.931,2.14169,3.60389,2.04954,0.00078,0.00156,0.00048,0.00019,3.91024,inf,11.5151,0.008713,0.008713,0.008713
15,113.881,2.08613,3.57946,2.01217,0.01814,0.01666,0.00226,0.00127,3.46539,inf,5.60068,0.008614,0.008614,0.008614
16,121.605,2.08996,3.63617,1.99026,0.09271,0.06401,0.00676,0.00279,2.91073,inf,3.51745,0.008515,0.008515,0.008515
17,126.88,2.02998,3.49805,1.97089,0.43224,0.02263,0.00927,0.00422,2.81933,27.6277,3.21918,0.008416,0.008416,0.008416
18,131.72,2.00374,3.43672,1.9672,0.64156,0.01611,0.00963,0.00528,2.75395,21.6684,3.21011,0.008317,0.008317,0.008317
19,137.373,1.98352,3.41788,1.93027,0.468,0.04039,0.01347,0.0071,2.60484,30.1272,2.97874,0.008218,0.008218,0.008218
20,143.165,1.96423,3.3041,1.91657,0.49403,0.02134,0.00817,0.00386,2.84742,34.8361,3.13666,0.008119,0.008119,0.008119
21,150.591,1.89918,3.29685,1.8821,0.41011,0.03505,0.0137,0.00698,2.74415,inf,2.96516,0.00802,0.00802,0.00802
22,156.284,1.95898,3.27749,1.94142,0.22615,0.04503,0.03295,0.01716,2.64351,inf,2.78127,0.007921,0.007921,0.007921
23,161.059,1.99174,3.29755,1.9361,0.34173,0.05803,0.03254,0.01786,2.50039,10.6406,2.64093,0.007822,0.007822,0.007822
24,165.5,1.87529,3.16294,1.87943,0.54565,0.03451,0.02649,0.01384,2.4061,6.39098,2.52433,0.007723,0.007723,0.007723
25,170.265,1.94107,3.27638,1.923,0.63343,0.03408,0.04074,0.01898,2.40469,6.20613,2.47374,0.007624,0.007624,0.007624
26,175.443,1.95876,3.18342,1.90167,0.24954,0.08306,0.0457,0.02256,2.43699,9.28049,2.42405,0.007525,0.007525,0.007525
27,180.285,1.93295,3.11973,1.8937,0.61716,0.09646,0.08462,0.0466,2.15913,6.13259,2.18324,0.007426,0.007426,0.007426
28,184.658,1.90348,3.15455,1.88237,0.38653,0.1188,0.06874,0.03797,2.13541,4.40649,2.15054,0.007327,0.007327,0.007327
29,188.939,1.90104,3.02074,1.85087,0.28145,0.1271,0.07503,0.03206,2.25361,4.5672,2.21954,0.007228,0.007228,0.007228
30,193.127,1.83329,3.07483,1.81836,0.623,0.0373,0.04025,0.02018,2.26463,6.3744,2.25121,0.007129,0.007129,0.007129
31,197.403,1.88294,3.10045,1.86217,0.17646,0.16485,0.05625,0.02854,2.11896,5.42577,2.13167,0.00703,0.00703,0.00703
32,201.459,1.87858,2.90509,1.80484,0.49022,0.08112,0.07136,0.03661,2.06046,3.91255,2.0971,0.006931,0.006931,0.006931
33,205.691,1.76809,2.92309,1.80755,0.54585,0.08599,0.0672,0.03373,2.11784,3.74097,2.16721,0.006832,0.006832,0.006832
34,210.148,1.85062,2.93515,1.81996,0.38575,0.15543,0.10528,0.05575,2.07136,3.39485,2.10438,0.006733,0.006733,0.006733
35,214.597,1.75647,2.91621,1.74259,0.44674,0.1605,0.14515,0.07704,2.00283,3.42964,2.03083,0.006634,0.006634,0.006634
36,218.989,1.81546,2.99019,1.83132,0.27453,0.1727,0.11341,0.0666,2.00343,4.20408,2.05698,0.006535,0.006535,0.006535
37,223.597,1.82308,2.82873,1.7543,0.35349,0.17114,0.10461,0.05589,2.0254,6.25042,2.06347,0.006436,0.006436,0.006436
38,228.127,1.81994,2.90302,1.77332,0.31769,0.22689,0.13426,0.06809,1.93218,3.80775,1.95613,0.006337,0.006337,0.006337
39,232.654,1.80919,2.81188,1.76777,0.38176,0.20226,0.16282,0.08767,1.83847,3.4894,1.89281,0.006238,0.006238,0.006238
40,237.199,1.76621,2.72839,1.71993,0.59195,0.16406,0.21366,0.12555,1.77889,2.94291,1.85683,0.006139,0.006139,0.006139
41,241.871,1.72733,2.76387,1.75129,0.41784,0.26019,0.22907,0.13053,1.78494,2.81106,1.8694,0.00604,0.00604,0.00604
42,246.424,1.74869,2.78362,1.79039,0.58478,0.15998,0.2163,0.10882,1.83233,2.7847,1.90734,0.005941,0.005941,0.005941
43,250.898,1.77905,2.75015,1.78142,0.41969,0.18448,0.17077,0.09096,1.84974,2.88313,1.92401,0.005842,0.005842,0.005842
44,255.584,1.72574,2.6214,1.70586,0.37962,0.2241,0.21059,0.11357,1.88683,3.1218,1.93626,0.005743,0.005743,0.005743
45,260.185,1.78301,2.68159,1.75485,0.43951,0.21439,0.21144,0.1202,1.86583,3.15997,1.89656,0.005644,0.005644,0.005644
46,264.72,1.71255,2.72231,1.72856,0.53473,0.21578,0.23831,0.14066,1.78516,2.79961,1.83383,0.005545,0.005545,0.005545
47,269.333,1.75598,2.66894,1.73652,0.5253,0.22344,0.21876,0.12221,1.83857,2.97593,1.87632,0.005446,0.005446,0.005446
48,273.902,1.68419,2.64397,1.70101,0.35899,0.26173,0.21978,0.12143,1.8605,2.90748,1.88172,0.005347,0.005347,0.005347
49,278.318,1.7284,2.5554,1.72666,0.33957,0.25427,0.24728,0.13296,1.8161,2.73823,1.83794,0.005248,0.005248,0.005248
50,282.749,1.70316,2.60834,1.67485,0.42717,0.29579,0.28966,0.16365,1.75531,2.51377,1.77902,0.005149,0.005149,0.005149
51,287.308,1.69487,2.57102,1.67035,0.40691,0.3008,0.25708,0.15099,1.75006,2.72007,1.78732,0.00505,0.00505,0.00505
52,291.817,1.66427,2.57434,1.66616,0.50213,0.23424,0.2524,0.14015,1.75542,2.40228,1.81754,0.004951,0.004951,0.004951
53,296.411,1.62274,2.48962,1.65459,0.45669,0.26104,0.25008,0.1444,1.7104,2.45637,1.79251,0.004852,0.004852,0.004852
54,300.935,1.64463,2.43843,1.67693,0.56452,0.26064,0.3028,0.17175,1.65887,2.36117,1.75283,0.004753,0.004753,0.004753
55,305.329,1.68856,2.53386,1.70345,0.48944,0.28018,0.33931,0.20355,1.60928,2.20499,1.70951,0.004654,0.004654,0.004654
56,309.726,1.66044,2.4251,1.65263,0.55526,0.30667,0.36206,0.21391,1.62186,2.1694,1.71581,0.004555,0.004555,0.004555
57,314.147,1.66116,2.37146,1.6576,0.50509,0.33916,0.3457,0.21374,1.62777,2.13531,1.72492,0.004456,0.004456,0.004456
58,318.636,1.66653,2.33426,1.6312,0.4688,0.31759,0.3553,0.2156,1.62448,2.07634,1.71229,0.004357,0.004357,0.004357
59,322.942,1.61414,2.41554,1.65293,0.46512,0.35891,0.36859,0.2286,1.60318,2.08469,1.69473,0.004258,0.004258,0.004258
60,327.42,1.63132,2.29611,1.62423,0.50206,0.3639,0.38938,0.23516,1.57285,2.05912,1.67277,0.004159,0.004159,0.004159
61,331.832,1.62476,2.44182,1.65986,0.40294,0.35421,0.37625,0.22159,1.55225,1.95977,1.65948,0.00406,0.00406,0.00406
62,336.293,1.56405,2.26081,1.59505,0.41929,0.35872,0.37432,0.22514,1.56675,1.95077,1.65217,0.003961,0.003961,0.003961
63,340.688,1.66504,2.37827,1.64101,0.39713,0.35333,0.35633,0.21069,1.61716,2.04822,1.67608,0.003862,0.003862,0.003862
64,345.214,1.54297,2.26677,1.60774,0.50081,0.30094,0.32796,0.20018,1.60112,2.11981,1.67015,0.003763,0.003763,0.003763
65,349.566,1.55927,2.17487,1.59901,0.51197,0.33546,0.39632,0.24326,1.54574,1.96321,1.6217,0.003664,0.003664,0.003664
66,354.064,1.56692,2.3382,1.63364,0.53797,0.38134,0.42049,0.26258,1.54291,1.91271,1.63617,0.003565,0.003565,0.003565
67,358.486,1.61807,2.25144,1.62356,0.52644,0.40779,0.44316,0.28963,1.51539,1.91596,1.64634,0.003466,0.003466,0.003466
