epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32722,1.3988,2.25198,1.37533,0.50099,0.15251,0.14023,0.07932,1.84229,3.28024,1.67166,0.0937,0.0007,0.0007
2,6.07477,1.87952,3.34794,1.71513,0.52445,0.05159,0.02868,0.01432,2.56449,15.9303,3.00107,0.0864852,0.00148515,0.00148515
3,8.98,1.89361,3.39168,1.79601,0.04007,0.10426,0.01276,0.00655,2.75325,inf,4.35298,0.0792545,0.00225446,0.00225446
4,12.4082,1.90741,3.26406,1.80974,0.05034,0.14103,0.00822,0.0037,2.54266,inf,3.83947,0.0720079,0.00300793,0.00300793
5,17.9787,2.02455,3.42283,1.90408,0.0363,0.18209,0.01411,0.00534,2.63927,inf,4.6617,0.0647456,0.00374556,0.00374556
6,23.1483,2.1141,3.57381,1.94612,0.00306,0.09429,0.00412,0.00164,2.93141,inf,5.5344,0.0574674,0.00446735,0.00446735
7,28.4923,2.15129,3.55517,1.97229,0.01903,0.09669,0.00635,0.00204,2.95239,inf,5.78908,0.0501733,0.0051733,0.0051733
8,35.8345,2.12998,3.69908,2.01494,0.00288,0.00173,0.00093,0.00055,3.70559,inf,37.8051,0.0428634,0.00586341,0.00586341
9,42.9136,2.19462,3.79145,2.07554,0.02949,0.02954,0.00209,0.00097,3.74784,inf,13.9323,0.0355377,0.00653768,0.00653768
10,50.4249,2.12595,3.76464,2.04583,0.0569,0.00335,0.00073,0.00035,3.94592,inf,11.3594,0.0281961,0.00719611,0.00719611
11,57.8148,2.1529,3.73554,2.01401,0.01519,0.01371,0.0009,0.00035,3.74482,inf,11.6343,0.0208387,0.0078387,0.0078387
12,62.9402,2.14027,3.59838,1.9866,0.00021,0.01101,0.00014,5e-05,3.87917,inf,11.4499,0.0134655,0.00846545,0.00846545
13,68.5868,2.13731,3.75058,2.0426,0.02872,0.0197,0.0007,0.00029,3.78054,inf,8.88925,0.008812,0.008812,0.008812
14,76.0024,2.14348,3.62069,2.0656,0.15505,0.01151,0.0001,3e-05,3.91948,inf,15.7732,0.008713,0.008713,0.008713
15,82.2439,2.10216,3.60202,1.99814,0.07203,0.01907,0.00108,0.00038,3.25082,inf,9.56647,0.008614,0.008614,0.008614
16,86.9687,2.13764,3.72472,2.04118,0.00399,0.0751,0.00349,0.001,3.10742,inf,9.05065,0.008515,0.008515,0.008515
17,92.9973,2.09851,3.56574,2.02735,0.00531,0.11278,0.00922,0.00488,2.88401,inf,6.0836,0.008416,0.008416,0.008416
18,98.9128,2.04393,3.49778,1.98264,0.00639,0.0966,0.00483,0.00232,2.7409,inf,5.51314,0.008317,0.008317,0.008317
19,105.693,2.06091,3.45393,1.99079,0.01582,0.06144,0.0092,0.00479,3.0673,inf,6.89083,0.008218,0.008218,0.008218
20,111.712,2.07878,3.37001,1.97862,0.14106,0.04482,0.00686,0.00331,3.07917,inf,6.73824,0.008119,0.008119,0.008119
21,116.929,2.01714,3.37128,1.95605,0.13816,0.0927,0.01573,0.00663,2.82211,inf,4.8636,0.00802,0.00802,0.00802
22,122.092,2.05365,3.37436,1.98744,0.03456,0.11757,0.02374,0.01214,2.77466,inf,4.85659,0.007921,0.007921,0.007921
23,126.351,2.02249,3.39303,1.95303,0.24687,0.08228,0.02585,0.01359,2.718,inf,4.50494,0.007822,0.007822,0.007822
24,130.855,1.92887,3.21706,1.92199,0.23124,0.05127,0.02794,0.01447,2.68844,35.4161,3.38084,0.007723,0.007723,0.007723
25,135.051,1.99041,3.32034,1.9699,0.12134,0.06912,0.03244,0.01432,2.56017,42.1375,3.39109,0.007624,0.007624,0.007624
26,140.508,2.00878,3.20689,1.93795,0.18747,0.08775,0.03931,0.01715,2.45945,inf,3.12006,0.007525,0.007525,0.007525
27,145.874,1.98811,3.13581,1.92726,0.11638,0.16885,0.04416,0.02021,2.32673,52.6446,2.82613,0.007426,0.007426,0.007426
