epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0586,2.85976,35.327,0.0023,0.00767,0.34918,0.02007,0.00516,1.66235,9.0834,0.00109,6.61538e-05,6.61538e-05,0.107143
2,95.8714,2.89451,4.46691,0.002,0.12002,0.35574,0.1694,0.05717,1.59756,5.64012,0.0011,0.000132788,0.000132788,0.0538764
3,137.661,2.70339,3.09394,0.00171,0.52552,0.29016,0.27241,0.09743,1.54172,3.93123,0.00104,0.000199292,0.000199292,0.000609549
4,179.154,2.61205,2.39091,0.00157,0.59913,0.26721,0.27167,0.10472,1.23242,2.84838,0.00084,0.000199561,0.000199561,0.000199561
5,220.717,2.55351,2.12802,0.00148,0.55269,0.27547,0.28618,0.10587,1.48498,2.55838,0.00095,0.000199219,0.000199219,0.000199219
6,262.684,2.48034,2.0067,0.0014,0.50435,0.27869,0.245,0.09897,1.51328,2.68595,0.001,0.000198781,0.000198781,0.000198781
7,304.222,2.44658,1.91055,0.00131,0.64384,0.28033,0.28599,0.10452,1.511,2.38078,0.001,0.000198246,0.000198246,0.000198246
8,345.921,2.45811,1.80577,0.00133,0.66492,0.30984,0.31751,0.13013,1.47067,2.69597,0.0009,0.000197616,0.000197616,0.000197616
9,387.726,2.36407,1.74851,0.0013,0.6307,0.26597,0.27621,0.11161,1.47274,2.35512,0.00094,0.00019689,0.00019689,0.00019689
10,429.341,2.2968,1.59034,0.00123,0.61736,0.32787,0.33193,0.12966,1.47966,2.00699,0.00099,0.000196069,0.000196069,0.000196069
11,472.594,2.28654,1.49147,0.00125,0.57379,0.34649,0.32855,0.11471,1.47277,2.0816,0.00093,0.000195155,0.000195155,0.000195155
12,518.609,2.26153,1.51291,0.00118,0.60267,0.31639,0.30306,0.10664,1.51236,2.01765,0.00101,0.000194147,0.000194147,0.000194147
13,563.918,2.23373,1.43787,0.00118,0.66888,0.30328,0.31803,0.11875,1.48341,2.17539,0.00096,0.000193048,0.000193048,0.000193048
14,609.133,2.20751,1.41673,0.0012,0.56608,0.32459,0.29664,0.10649,1.50695,2.43604,0.00093,0.000191858,0.000191858,0.000191858
15,654.497,2.17864,1.43613,0.00115,0.59169,0.31833,0.30229,0.11318,1.45039,2.22081,0.00092,0.000190578,0.000190578,0.000190578
16,700.628,2.16014,1.39303,0.00112,0.61161,0.31639,0.31295,0.11845,1.44247,2.00983,0.00094,0.00018921,0.00018921,0.00018921
17,745.773,2.10408,1.33171,0.00109,0.58391,0.30164,0.29478,0.10653,1.51933,1.89124,0.00095,0.000187754,0.000187754,0.000187754
18,791.939,2.11322,1.36518,0.00112,0.62301,0.32239,0.32131,0.11466,1.53066,1.89135,0.00093,0.000186213,0.000186213,0.000186213
19,837.477,2.08154,1.40038,0.00108,0.66448,0.34098,0.34494,0.11929,1.47302,1.94016,0.00088,0.000184588,0.000184588,0.000184588
20,884.21,2.07751,1.23717,0.00106,0.54032,0.30492,0.27438,0.09128,1.55782,2.27914,0.001,0.000182881,0.000182881,0.000182881
21,931.075,2.06534,1.26928,0.00106,0.63656,0.3503,0.31748,0.10017,1.50434,2.00199,0.00093,0.000181093,0.000181093,0.000181093
22,977.815,2.0927,1.26945,0.00106,0.64387,0.32459,0.33074,0.11643,1.50324,2.18364,0.00093,0.000179225,0.000179225,0.000179225
23,1023.94,2.05902,1.24445,0.00104,0.60734,0.31639,0.28971,0.10095,1.52,2.08382,0.00095,0.000177281,0.000177281,0.000177281
24,1069.46,2.01904,1.23782,0.00104,0.62737,0.31803,0.31471,0.10577,1.5315,1.95741,0.00096,0.000175261,0.000175261,0.000175261
25,1115.64,2.03031,1.21845,0.00103,0.62259,0.31639,0.30458,0.10212,1.51696,1.92456,0.00097,0.000173168,0.000173168,0.000173168
26,1162.3,2.03971,1.26485,0.00105,0.64415,0.3472,0.32405,0.11294,1.49024,2.04969,0.0009,0.000171004,0.000171004,0.000171004
27,1207.56,2.00153,1.22162,0.001,0.63814,0.30164,0.29103,0.09581,1.5014,2.00648,0.00096,0.00016877,0.00016877,0.00016877
28,1254.07,1.99495,1.11879,0.00105,0.6296,0.33438,0.29939,0.10589,1.52529,1.99044,0.00091,0.00016647,0.00016647,0.00016647
29,1300.23,2.01367,1.18475,0.00101,0.65758,0.32741,0.31577,0.10138,1.51181,1.93997,0.00098,0.000164105,0.000164105,0.000164105
30,1346.04,1.95631,1.15595,0.00096,0.65517,0.34426,0.32618,0.1086,1.53572,1.92142,0.00098,0.000161678,0.000161678,0.000161678
31,1391,1.96279,1.17209,0.001,0.62739,0.3377,0.31312,0.10852,1.55694,1.94269,0.00095,0.000159191,0.000159191,0.000159191
32,1436.09,2.0002,1.20811,0.00102,0.57989,0.31967,0.30323,0.09454,1.4946,2.0811,0.00098,0.000156646,0.000156646,0.000156646
33,1481.85,1.9425,1.10607,0.00098,0.66485,0.33171,0.32729,0.10804,1.49199,1.8879,0.0009,0.000154047,0.000154047,0.000154047
34,1527.96,1.96561,1.11694,0.00099,0.7086,0.3459,0.3423,0.11748,1.55038,2.08606,0.00096,0.000151395,0.000151395,0.000151395
35,1573.54,1.92105,1.06744,0.00095,0.71632,0.33443,0.34519,0.11458,1.51071,1.91941,0.00094,0.000148694,0.000148694,0.000148694
36,1619.57,1.95087,1.13383,0.00098,0.65682,0.33115,0.32851,0.11149,1.53823,1.99248,0.00095,0.000145945,0.000145945,0.000145945
37,1665.66,1.94687,1.1617,0.00095,0.65129,0.32787,0.32652,0.10953,1.54856,1.98559,0.00099,0.000143152,0.000143152,0.000143152
