epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,81.7054,1.97323,36.7389,0.00172,5e-05,0.04426,1e-05,1e-05,1.02124,47.4725,0.00084,6.64103e-05,6.64103e-05,0.106938,0.000332051,0.000332051,0.107204
2,152.249,2.16563,17.8468,0.00173,5e-05,0.04754,1e-05,0,0.92745,31.2134,0.00077,0.000133044,0.000133044,0.0536715,0.000665222,0.000665222,0.0542037
3,223.939,2.56136,27.1419,0.00183,6e-05,0.05574,0,0,1.05803,27.6818,0.00093,0.000199548,0.000199548,0.000404677,0.000997742,0.000997742,0.00120287
4,1405.86,2.55822,26.0081,0.00191,0.03903,0.25902,0.03736,0.01277,1.19353,3.58636,0.00095,0.000199561,0.000199561,0.000199561,0.000997803,0.000997803,0.000997803
5,1594.39,2.64792,3.36233,0.00173,0.03122,0.09344,0.01022,0.00316,1.42524,11.9569,0.00098,0.000199219,0.000199219,0.000199219,0.000996097,0.000996097,0.000996097
6,1683.17,2.56529,2.55948,0.00157,0.09792,0.1623,0.03147,0.00998,1.27366,8.03017,0.00083,0.000198781,0.000198781,0.000198781,0.000993906,0.000993906,0.000993906
7,1761.82,2.50854,2.36266,0.00146,0.04698,0.12951,0.01549,0.00482,1.32666,9.35788,0.0009,0.000198246,0.000198246,0.000198246,0.000991232,0.000991232,0.000991232
8,1838.54,2.45431,2.19967,0.00142,0.18378,0.15902,0.08471,0.02648,1.43897,11.0653,0.00094,0.000197616,0.000197616,0.000197616,0.000988079,0.000988079,0.000988079
9,1915.14,2.42288,2.06455,0.00137,0.1528,0.11803,0.05958,0.01869,1.30906,9.51631,0.00088,0.00019689,0.00019689,0.00019689,0.000984449,0.000984449,0.000984449
10,1991.76,2.34637,1.88823,0.00131,0.23232,0.15738,0.09165,0.02709,1.35011,9.48498,0.00091,0.000196069,0.000196069,0.000196069,0.000980345,0.000980345,0.000980345
11,2068.45,2.36108,1.81641,0.00132,0.15408,0.17541,0.05613,0.01625,1.35168,12.5249,0.00086,0.000195155,0.000195155,0.000195155,0.000975773,0.000975773,0.000975773
12,2146,2.29113,1.67279,0.00126,0.34858,0.22983,0.16011,0.0525,1.35383,5.68419,0.00092,0.000194147,0.000194147,0.000194147,0.000970736,0.000970736,0.000970736
13,2230.86,2.30925,1.65735,0.00127,0.20544,0.17869,0.08503,0.02794,1.33978,8.67245,0.00089,0.000193048,0.000193048,0.000193048,0.000965239,0.000965239,0.000965239
14,2306.37,2.22217,1.57357,0.0012,0.53258,0.25738,0.25361,0.08625,1.33774,2.86468,0.00088,0.000191858,0.000191858,0.000191858,0.000959289,0.000959289,0.000959289
