epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4218,3.21085,12.5175,0.00503,0.1123,0.04648,0.02711,0.01097,2.13916,6.63595,0.0027,6.60819e-05,6.60819e-05,0.107201
2,79.4313,2.60634,3.95602,0.00358,0.24476,0.25339,0.12717,0.05778,1.84983,4.19846,0.00236,0.000132619,0.000132619,0.0539338
3,116.095,2.30368,2.58771,0.00298,0.40642,0.441,0.28794,0.14549,1.72388,2.86415,0.00216,0.000198637,0.000198637,0.000666473
4,152.296,2.10255,1.99441,0.00263,0.54918,0.42431,0.44354,0.2438,1.6526,2.34711,0.00206,0.000198246,0.000198246,0.000198246
5,188.541,2.0539,1.76836,0.00243,0.56188,0.47845,0.49452,0.27453,1.62976,2.08865,0.00192,0.00019689,0.00019689,0.00019689
6,224.751,1.9833,1.60106,0.00243,0.54207,0.42312,0.47028,0.2731,1.57552,2.2668,0.00187,0.000195155,0.000195155,0.000195155
7,260.934,1.90301,1.47527,0.00223,0.60581,0.49091,0.54132,0.28688,1.76552,1.85552,0.00197,0.000193048,0.000193048,0.000193048
8,296.706,1.88446,1.45796,0.00214,0.60629,0.48457,0.54064,0.2957,1.7495,2.05032,0.00191,0.000190578,0.000190578,0.000190578
9,332.654,1.8355,1.39645,0.00206,0.65745,0.49702,0.56657,0.32178,1.61383,1.68145,0.00179,0.000187754,0.000187754,0.000187754
10,368.771,1.8038,1.3868,0.00199,0.64958,0.51038,0.55404,0.31,1.69451,1.8484,0.00189,0.000184588,0.000184588,0.000184588
11,405.666,1.76566,1.33962,0.00196,0.65601,0.5006,0.5716,0.32866,1.56451,1.71418,0.00171,0.000181093,0.000181093,0.000181093
12,441.184,1.70226,1.2604,0.00191,0.65371,0.50894,0.56129,0.30031,1.71639,1.91594,0.00189,0.000177281,0.000177281,0.000177281
13,476.337,1.67081,1.24433,0.00186,0.63943,0.50305,0.55377,0.30114,1.72448,1.84107,0.00187,0.000173168,0.000173168,0.000173168
14,511.797,1.68507,1.23287,0.00185,0.67843,0.47777,0.55911,0.29915,1.70393,1.76609,0.00192,0.00016877,0.00016877,0.00016877
15,547.065,1.64967,1.22255,0.00177,0.59762,0.51609,0.56403,0.29218,1.71245,1.67931,0.0019,0.000164105,0.000164105,0.000164105
16,582.704,1.63004,1.20291,0.00177,0.61422,0.50894,0.57932,0.29911,1.73089,1.68305,0.00193,0.000159191,0.000159191,0.000159191
17,618.179,1.59775,1.16645,0.00171,0.66984,0.52086,0.57982,0.32255,1.67252,1.70432,0.00183,0.000154047,0.000154047,0.000154047
18,653.441,1.58899,1.18111,0.0017,0.67665,0.51609,0.58114,0.32084,1.66612,1.6068,0.00182,0.000148694,0.000148694,0.000148694
19,689.013,1.5939,1.1808,0.00166,0.6524,0.48991,0.54902,0.30004,1.6429,1.65107,0.00181,0.000143152,0.000143152,0.000143152
20,724.803,1.54722,1.14898,0.00165,0.66974,0.47914,0.57699,0.2903,1.7891,1.69327,0.00199,0.000137444,0.000137444,0.000137444
21,760.074,1.55838,1.13785,0.00164,0.67899,0.50298,0.58116,0.30738,1.73815,1.57796,0.00191,0.000131593,0.000131593,0.000131593
22,795.359,1.53932,1.12393,0.00161,0.66537,0.51728,0.57863,0.29978,1.77354,1.65663,0.0019,0.00012562,0.00012562,0.00012562
23,831.924,1.50918,1.11826,0.0016,0.61299,0.53039,0.57298,0.29698,1.70283,1.56662,0.00185,0.000119551,0.000119551,0.000119551
24,867.828,1.5333,1.11614,0.00163,0.61038,0.53397,0.56877,0.30186,1.65746,1.61472,0.00182,0.000113408,0.000113408,0.000113408
25,903.272,1.50874,1.0924,0.00157,0.6305,0.52878,0.57965,0.30421,1.65927,1.58793,0.00185,0.000107216,0.000107216,0.000107216
26,938.737,1.49802,1.09113,0.00154,0.61435,0.54112,0.58313,0.30581,1.72633,1.56486,0.00189,0.000101,0.000101,0.000101
27,974.186,1.5121,1.10452,0.00161,0.62491,0.53754,0.57606,0.29546,1.70784,1.56797,0.00186,9.47837e-05,9.47837e-05,9.47837e-05
28,1009.68,1.5074,1.1127,0.00155,0.61983,0.52324,0.55517,0.28808,1.67426,1.65812,0.00186,8.8592e-05,8.8592e-05,8.8592e-05
29,1045.2,1.48936,1.08163,0.00158,0.60347,0.51967,0.56452,0.30329,1.62482,1.53426,0.00181,8.24492e-05,8.24492e-05,8.24492e-05
30,1080.64,1.46916,1.08653,0.00153,0.61889,0.53635,0.57353,0.29222,1.71505,1.52834,0.00187,7.63797e-05,7.63797e-05,7.63797e-05
31,1115.94,1.47423,1.06498,0.00155,0.61131,0.5435,0.567,0.28758,1.74336,1.64191,0.00188,7.04073e-05,7.04073e-05,7.04073e-05
