epoch,gate0,gate1,gate2
0,0.096277,0.092249,0.096592
1,0.088579,0.076187,0.090416
2,0.043167,0.059929,0.066426
3,0.046170,0.039674,0.062562
4,0.051145,0.044685,0.059088
5,0.078150,0.061860,0.074452
6,0.079698,0.060449,0.071812
7,0.088138,0.056953,0.055184
8,0.079940,0.042352,0.072144
9,0.091899,0.058150,0.072363
10,0.086415,0.057351,0.069199
11,0.096085,0.038744,0.057113
12,0.077330,0.055443,0.074796
13,0.081504,0.046758,0.059840
14,0.099011,0.054927,0.063901
15,0.090411,0.041224,0.071075
16,0.091295,0.061479,0.063152
17,0.102605,0.050104,0.065589
18,0.085028,0.044742,0.060793
19,0.099546,0.039439,0.059413
20,0.118228,0.032562,0.068548
21,0.093729,0.037130,0.062621
22,0.108136,0.035365,0.068655
23,0.111079,0.038679,0.065755
24,0.106708,0.032912,0.061421
25,0.105282,0.041826,0.060252
26,0.111799,0.041384,0.061716
27,0.117483,0.036453,0.060322
28,0.116890,0.035265,0.055434
29,0.120322,0.036442,0.056550
30,0.119633,0.035990,0.056039
31,0.117697,0.036699,0.059331
32,0.123573,0.038402,0.056102
33,0.124814,0.039112,0.055680
34,0.125723,0.034028,0.058841
35,0.124445,0.032641,0.060380
36,0.125314,0.033708,0.060051
37,0.127084,0.036564,0.060399
38,0.125361,0.033801,0.060306
39,0.125361,0.033801,0.060306
