epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,73.9045,3.23578,12.3037,0.00523,0.04955,0.07032,0.01452,0.00477,2.1558,6.95292,0.00303,6.6373e-05,6.6373e-05,0.106968,0.000331865,0.000331865,0.107233
2,137.521,2.6057,4.29934,0.00376,0.08653,0.09178,0.03304,0.01186,2.00699,5.16893,0.00259,0.00013291,0.00013291,0.0537012,0.000664548,0.000664548,0.0542328
3,200.305,2.41709,3.17519,0.00325,0.07672,0.14905,0.05068,0.01847,2.15389,3.66761,0.00299,0.000198927,0.000198927,0.000433875,0.000994634,0.000994634,0.00122958
4,262.989,2.1611,2.31739,0.0028,0.21082,0.34446,0.16202,0.06763,1.76677,3.05241,0.00237,0.000198246,0.000198246,0.000198246,0.000991232,0.000991232,0.000991232
5,325.42,1.98922,1.90732,0.00248,0.3593,0.45173,0.26713,0.12918,1.61394,3.1574,0.00213,0.00019689,0.00019689,0.00019689,0.000984449,0.000984449,0.000984449
6,387.523,1.89968,1.70356,0.00231,0.41881,0.44458,0.3341,0.16674,1.66581,2.10905,0.00228,0.000195155,0.000195155,0.000195155,0.000975773,0.000975773,0.000975773
7,449.755,1.85122,1.57514,0.00218,0.43854,0.48868,0.35905,0.19385,1.49998,2.86151,0.00194,0.000193048,0.000193048,0.000193048,0.000965239,0.000965239,0.000965239
8,512.197,1.77993,1.4261,0.00207,0.47262,0.45054,0.39594,0.2203,1.52242,2.18193,0.0019,0.000190578,0.000190578,0.000190578,0.000952889,0.000952889,0.000952889
9,574.395,1.74877,1.36117,0.00198,0.43105,0.44458,0.34603,0.18863,1.54774,2.08327,0.00201,0.000187754,0.000187754,0.000187754,0.000938772,0.000938772,0.000938772
10,636.296,1.71368,1.28019,0.00191,0.38194,0.51251,0.34247,0.18997,1.48486,2.28871,0.00182,0.000184588,0.000184588,0.000184588,0.000922942,0.000922942,0.000922942
